Geneid,DRX114943,DRX114944,DRX114945,DRX114946,DRX114947,DRX114948,DRX114949,DRX114950
SYNPCC7002_RS01530,6.675488337292772,6.8995539752962065,6.4142755813873,6.468025195244142,6.860319310414185,6.555759379716784,7.241242524238271,6.435279168301348
SYNPCC7002_RS01535,5.467005700514908,5.787305933345033,5.907259976304161,5.761968786846233,5.504279107083483,5.818787496124073,5.755575692780656,5.988913466268797
SYNPCC7002_RS01540,5.6400837511235515,5.253622030093592,6.7061792189819585,6.384669658471932,6.0098855691016775,7.163367318061709,6.033961583895087,6.735900916823283
SYNPCC7002_RS01545,3.799338802863144,3.668394594318651,4.958028868389906,5.280255391700079,3.979269294348384,5.185252021389668,4.315606398249368,5.160161763266581
SYNPCC7002_RS01550,6.15088243897806,6.107196919625358,5.7019285925646095,6.01136591419281,6.317880812461147,6.059094360117795,6.346838995968346,5.8820851594630446
SYNPCC7002_RS01555,6.339679125167499,5.994655250246051,7.407901600665262,7.374023845270164,6.400139011076847,7.059623729671895,6.670024450119549,7.283483070156516
SYNPCC7002_RS01560,5.479465760705824,5.315741603635086,6.027593794232108,6.366091232000723,5.390837135401474,5.8786300890584355,5.642078008556788,5.706771578204964
SYNPCC7002_RS01565,6.584596952386042,6.401198446837468,7.137845008537247,7.033004300429321,6.444545127283296,6.633680788304604,6.962188144672987,6.752527660446965
SYNPCC7002_RS01570,7.745831676109275,7.698954529879137,9.001405692282644,8.997737828197389,7.772104820753775,9.14047078574694,8.008159341803541,9.090586720045355
SYNPCC7002_RS01575,6.561972255452545,6.163365735490301,7.465423605631895,7.5542758602571105,6.358920882151528,7.573380768393876,6.7469151135398535,7.411348716243303
SYNPCC7002_RS01580,8.074751218950787,7.870749445872148,8.01430150917568,7.8154213217275394,8.358952045686534,7.734087090121528,8.199888609022734,7.820979626136543
SYNPCC7002_RS01585,11.698295637682396,11.626268604157245,8.903756003755829,8.572667385982603,11.929906508248433,9.740835837591908,11.407771961748407,9.178386341807979
SYNPCC7002_RS01590,6.042743789476256,6.531573986191351,6.169537927237485,6.4398799427504505,6.346536244427009,6.218877048718242,6.742822372374726,6.056460057399032
SYNPCC7002_RS01595,8.461155506457033,9.26788165311203,7.392000881597639,7.389205787926391,9.11469978016071,7.405541713751069,9.437589498476834,7.064987441242289
SYNPCC7002_RS01600,4.070684467499755,3.8695738771385657,5.316558853935236,5.471147868541103,3.9267515567661953,5.538172370812257,4.241786455069491,5.4896201478038655
SYNPCC7002_RS01605,6.79065510210454,6.679915226817417,9.645127096905284,9.684292753361989,7.024211484904675,9.769496165068002,7.450662445151219,10.238460208209373
SYNPCC7002_RS01610,7.283186802324486,6.583791998490845,8.781636956525388,8.68101998234799,6.933776842444242,8.671673067244715,7.116079273878329,8.542586532903753
SYNPCC7002_RS01615,6.121618802542868,5.27140635969284,7.830942492803273,7.368759610360713,6.078164951667741,7.682606176659213,6.119056399164479,6.958980181779541
SYNPCC7002_RS01620,6.527511628831568,5.7742384796458,8.345026281974247,7.8658087217491,6.650995408862722,8.113924823098527,6.559269804482862,7.590006613566842
SYNPCC7002_RS01625,7.2501881409358315,6.2116042219190755,9.39307999508883,8.818155772755626,7.046104341123225,9.537226530134758,7.117220586287839,7.530395578288924
