Geneid,SRX11490741,SRX11490742,SRX11490743,SRX11490744,SRX11490745,SRX11490746,SRX11490747,SRX11490748,SRX11490749,SRX11490750,SRX11490751,SRX11490752
SGL_RS02405,5.671238109359755,6.115952805922074,6.198274018187056,6.127563018335643,6.076431670233119,6.146669729185223,5.031680994148594,5.3554613030265354,5.490112017627307,5.683555180030039,5.734526186305073,5.673915236386725
SGL_RS02410,4.431087273936555,4.390004996906352,4.037927776572218,3.9720926561058936,4.183572925008731,4.413597184244992,4.558715310541691,5.18502647739632,4.589694941709868,3.7554078341359802,4.210834788901838,4.138624904030751
SGL_RS02415,4.273526280143809,4.534841443589881,4.736558692239323,4.511517115238531,4.301247880176963,4.302525612889135,4.130474910247411,4.371299504047106,4.322219264159694,3.6237148798078573,4.062379419076017,3.8599115242659496
SGL_RS18645,3.345792744736479,2.901203809776026,3.2983377927484083,2.9921447426925987,3.680868700418412,3.376593824569796,3.1489073153241676,3.556564717333476,3.87890089208099,3.602199870734098,3.397864878910233,3.813945216666576
SGL_RS19745,2.8853294095209585,2.9076973822011283,2.8713312127001585,3.2563896822942846,2.8385430599694814,3.4910566383770028,2.873549280496852,2.84480764741472,3.272580035544422,3.3164098374012596,2.165855497590381,3.4336714973926754
SGL_RS02430,7.272859496558822,7.526470210602894,7.625817818935844,7.5099129957784045,7.791664437103793,7.661764079849438,7.646673111701531,7.573152287585234,7.532841181419095,7.561283135530416,7.7892443034599905,7.980163772927017
SGL_RS02435,11.832144322771986,11.101944355129726,11.138213916737008,10.993139020394059,11.066555267568498,10.99781336964991,10.336370894004432,11.267712535356448,11.27087627181979,10.82173729504948,10.649215860178971,10.557762425442773
SGL_RS02440,7.650874804926105,7.196464724146946,7.258346069209588,7.072474613964916,7.129222399220027,7.124607114432541,6.643434582527939,6.816065951907948,6.8479463980652895,6.7629101410631725,6.5327613124478185,6.7123208347578585
SGL_RS02445,7.50475608608381,7.485858210714249,7.460544801604411,7.4564490511530925,7.50066849395638,7.447865327741554,7.4097535555882965,7.513544840304726,7.412574224594804,7.640272088952672,7.626959518323778,7.8357372677561825
SGL_RS02450,7.50021615905484,7.562474261824155,7.454886524115288,7.4570328465655145,7.332535286241175,7.640274470774989,7.9073875276589405,7.392066036711604,7.200321697502131,7.245282448451135,7.088041551204536,7.153294541594461
